模型名称：数据导出
合约名称：PTA1309 
测试时间：2007-02-26 -- 2013-04-18
测试周期：日线
测试模式：实战模式
开仓时使用的资金比率：100%
最大开仓手数：1000
保证金比率：8%
单位：5吨/手
手续费：0圆/手
----------------------------------
  测试天数：		2243		  测试周期数：	1444
  指令总数：		1444		  平均交易周期：1
  初始资金：		2147483647		  最终权益：	2147462528
  总收益率(盈利/初始资金)：	-0.00%	  盈利：	-21119.00
  扣除最大盈利后收益率：	-0.00%
  扣除最大亏损后收益率：	-0.00%

  可靠性(胜率)：	49.79%		  成交额：	120564400
  期望收益(平均R乘数)：	0.00R		  总手续费：	0

  总交易次数：		1444		
  盈利次数比例：	48.75%		  亏损次数比例：	50.14%
  平均利润率：		-0.00%		  平均每次盈利：	-15
  标准离差率：		-4873.0%		  标准离差：		667.16
  多头次数：		722		  空头次数：		721
  多头盈利次数：	350		  空头盈利次数：	354

  盈利次数：		704		  亏损次数：	724
  总盈利：		298580(0.01%)	  总亏损：	-318350(-0.01%)
  平均盈利率：		424(0.00%)	  平均亏损率：	-440(-0.00%)
  最大盈利额：		5940(0.00%)	  最大亏损额：	-7590(-0.00%)
  平均盈利周期：	1		  平均亏损周期：	1
  最大盈利周期：	1		  最大亏损周期：	1
  最大连续盈利次数：	11		  最大连续亏损次数：	9
  最大连续盈利：	9750(0.00%)	  最大连续亏损：	-8880(-0.00%)

  空仓总时间：		0		  最长空仓时间：	0
  空仓时间/总时间：	0.00%


开仓时间	开仓价格	交易类型	平仓时间	平仓价格	手数	手续费	盈利	扣除手续费后盈利	总资金	平仓类型
20080321	8672	多头	20080324	8684	1	0	60	60	2147480960	正常
20080324	8684	空头	20080325	8600	1	0	420	420	2147481344	正常
20080325	8600	多头	20080326	8550	1	0	-250	-250	2147481088	正常
20080326	8550	空头	20080327	8596	1	0	-230	-230	2147480832	正常
20080327	8596	多头	20080328	8568	1	0	-140	-140	2147480704	正常
20080328	8568	空头	20080331	8530	1	0	190	190	2147480832	正常
20080331	8530	多头	20080401	8512	1	0	-90	-90	2147480704	正常
20080401	8512	空头	20080402	8382	1	0	650	650	2147481344	正常
20080402	8382	多头	20080403	8380	1	0	-10	-10	2147481344	正常
20080403	8380	空头	20080407	8356	1	0	120	120	2147481472	正常
20080407	8356	多头	20080408	8314	1	0	-210	-210	2147481216	正常
20080408	8314	空头	20080410	8310	1	0	20	20	2147481216	正常
20080410	8310	多头	20080411	8234	1	0	-380	-380	2147480832	正常
20080411	8234	空头	20080414	8170	1	0	320	320	2147481088	正常
20080414	8170	多头	20080415	8176	1	0	30	30	2147481088	正常
20080415	8176	空头	20080416	8118	1	0	290	290	2147481344	正常
20080416	8118	多头	20080417	8042	1	0	-380	-380	2147480960	正常
20080417	8042	空头	20080418	8064	1	0	-110	-110	2147480832	正常
20080418	8064	多头	20080421	8050	1	0	-70	-70	2147480704	正常
20080421	8050	空头	20080422	7986	1	0	320	320	2147481088	正常
20080422	7986	多头	20080423	7922	1	0	-320	-320	2147480832	正常
20080423	7922	空头	20080424	8230	1	0	-1540	-1540	2147479296	正常
20080424	8230	多头	20080425	8250	1	0	100	100	2147479424	正常
20080425	8250	空头	20080428	8202	1	0	240	240	2147479680	正常
20080428	8202	多头	20080429	8208	1	0	30	30	2147479680	正常
20080429	8208	空头	20080430	8256	1	0	-240	-240	2147479424	正常
20080430	8256	多头	20080505	8104	1	0	-760	-760	2147478656	正常
20080505	8104	空头	20080506	8110	1	0	-30	-30	2147478656	正常
20080506	8110	多头	20080507	8150	1	0	200	200	2147478912	正常
20080507	8150	空头	20080508	8218	1	0	-340	-340	2147478528	正常
20080508	8218	多头	20080509	8160	1	0	-290	-290	2147478272	正常
20080509	8160	空头	20080512	8254	1	0	-470	-470	2147477760	正常
20080512	8254	多头	20080513	8286	1	0	160	160	2147477888	正常
20080513	8286	空头	20080514	8444	1	0	-790	-790	2147477120	正常
20080514	8444	多头	20080515	8448	1	0	20	20	2147477120	正常
20080515	8448	空头	20080516	8514	1	0	-330	-330	2147476736	正常
20080516	8514	多头	20080519	8570	1	0	280	280	2147476992	正常
20080519	8570	空头	20080520	8498	1	0	360	360	2147477376	正常
20080520	8498	多头	20080521	8642	1	0	720	720	2147478144	正常
20080521	8642	空头	20080522	8722	1	0	-400	-400	2147477760	正常
20080522	8722	多头	20080523	8758	1	0	180	180	2147477888	正常
20080523	8758	空头	20080526	8968	1	0	-1050	-1050	2147476864	正常
20080526	8968	多头	20080527	8886	1	0	-410	-410	2147476480	正常
20080527	8886	空头	20080528	8842	1	0	220	220	2147476736	正常
20080528	8842	多头	20080529	8816	1	0	-130	-130	2147476608	正常
20080529	8816	空头	20080530	8880	1	0	-320	-320	2147476224	正常
20080530	8880	多头	20080602	9056	1	0	880	880	2147477120	正常
20080602	9056	空头	20080603	9110	1	0	-270	-270	2147476864	正常
20080603	9110	多头	20080604	9318	1	0	1040	1040	2147477888	正常
20080604	9318	空头	20080605	9298	1	0	100	100	2147478016	正常
20080605	9298	多头	20080606	9412	1	0	570	570	2147478528	正常
20080606	9412	空头	20080610	9500	1	0	-440	-440	2147478144	正常
20080610	9500	多头	20080611	9494	1	0	-30	-30	2147478144	正常
20080611	9494	空头	20080612	9610	1	0	-580	-580	2147477504	正常
20080612	9610	多头	20080613	9894	1	0	1420	1420	2147478912	正常
20080613	9894	空头	20080616	9950	1	0	-280	-280	2147478656	正常
20080616	9950	多头	20080617	9878	1	0	-360	-360	2147478272	正常
20080617	9878	空头	20080618	9848	1	0	150	150	2147478400	正常
20080618	9848	多头	20080619	9968	1	0	600	600	2147479040	正常
20080619	9968	空头	20080620	9760	1	0	1040	1040	2147480064	正常
20080620	9760	多头	20080623	9840	1	0	400	400	2147480448	正常
20080623	9840	空头	20080624	9654	1	0	930	930	2147481344	正常
20080624	9654	多头	20080625	9592	1	0	-310	-310	2147481088	正常
20080625	9592	空头	20080626	9570	1	0	110	110	2147481216	正常
20080626	9570	多头	20080627	9870	1	0	1500	1500	2147482752	正常
20080627	9870	空头	20080630	9570	1	0	1500	1500	2147484160	正常
20080630	9570	多头	20080701	9550	1	0	-100	-100	2147484160	正常
20080701	9550	空头	20080702	9678	1	0	-640	-640	2147483520	正常
20080702	9678	多头	20080703	9700	1	0	110	110	2147483648	正常
20080703	9700	空头	20080704	9646	1	0	270	270	2147483904	正常
20080704	9646	多头	20080707	9652	1	0	30	30	2147483904	正常
20080707	9652	空头	20080708	9624	1	0	140	140	2147484160	正常
